"Similarity";"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"100";"CHEMBL1276249";"";"";"Small molecule";"0";"307.23";"1";"1";"4.13";"19.03";"1";"1";"0";"2";"N";"0.88";"None";"9.94";"3.83";"1.34";"2";"MOL";"-1";"18";"2";"1";"0";"306.0732";"BASE";"C15H19BrN2";"CN(C)C1CCC(c2c[nH]c3cc(Br)ccc23)C1"
"61.7021262645721435546875";"CHEMBL1276166";"";"";"Small molecule";"0";"246.33";"1";"1";"3.50";"19.03";"1";"1";"0";"2";"N";"0.86";"None";"9.95";"3.21";"0.70";"2";"MOL";"-1";"18";"2";"1";"0";"246.1532";"BASE";"C15H19FN2";"CN(C)C1CCC(c2c[nH]c3ccc(F)cc23)C1"
"57.9999983310699462890625";"CHEMBL1275731";"";"";"Small molecule";"0";"253.35";"1";"1";"3.24";"42.82";"2";"1";"0";"2";"N";"0.89";"None";"9.92";"2.92";"0.44";"2";"MOL";"-1";"19";"3";"1";"0";"253.1579";"BASE";"C16H19N3";"CN(C)[C@@H]1CC[C@@H](c2c[nH]c3ccc(C#N)cc23)C1"
"72.72727489471435546875";"CHEMBL1276226";"";"";"Small molecule";"0";"246.33";"1";"1";"3.50";"19.03";"1";"1";"0";"2";"N";"0.86";"None";"9.94";"3.21";"0.71";"2";"MOL";"-1";"18";"2";"1";"0";"246.1532";"BASE";"C15H19FN2";"CN(C)C1CCC(c2c[nH]c3cc(F)ccc23)C1"
"61.7021262645721435546875";"CHEMBL1275792";"";"";"Small molecule";"0";"246.33";"1";"1";"3.50";"19.03";"1";"1";"0";"2";"N";"0.86";"None";"9.95";"3.21";"0.70";"2";"MOL";"-1";"18";"2";"1";"0";"246.1532";"BASE";"C15H19FN2";"CN(C)[C@H]1CC[C@H](c2c[nH]c3ccc(F)cc23)C1"
"58.3333313465118408203125";"CHEMBL1276252";"";"";"Small molecule";"0";"307.23";"1";"1";"4.13";"19.03";"1";"1";"0";"2";"N";"0.88";"None";"9.94";"3.83";"1.34";"2";"MOL";"-1";"18";"2";"1";"0";"306.0732";"BASE";"C15H19BrN2";"CN(C)C1CCC(c2c[nH]c3c(Br)cccc23)C1"
"61.7021262645721435546875";"CHEMBL1276224";"";"";"Small molecule";"0";"262.78";"1";"1";"4.02";"19.03";"1";"1";"0";"2";"N";"0.87";"None";"9.93";"3.67";"1.18";"2";"MOL";"-1";"18";"2";"1";"0";"262.1237";"BASE";"C15H19ClN2";"CN(C)C1CCC(c2c[nH]c3ccc(Cl)cc23)C1"
"58.3333313465118408203125";"CHEMBL1276164";"";"";"Small molecule";"0";"307.23";"1";"1";"4.13";"19.03";"1";"1";"0";"2";"N";"0.88";"None";"9.92";"3.83";"1.35";"2";"MOL";"-1";"18";"2";"1";"0";"306.0732";"BASE";"C15H19BrN2";"CN(C)C1CCC(c2c[nH]c3cccc(Br)c23)C1"
"57.9999983310699462890625";"CHEMBL1275709";"";"";"Small molecule";"0";"253.35";"18";"24";"3.24";"42.82";"2";"1";"0";"2";"N";"0.89";"None";"9.92";"2.92";"0.44";"2";"MOL";"-1";"19";"3";"1";"0";"253.1579";"BASE";"C16H19N3";"CN(C)[C@@H]1CC[C@H](c2c[nH]c3ccc(C#N)cc23)C1"
"61.7021262645721435546875";"CHEMBL1275794";"";"";"Small molecule";"0";"246.33";"1";"1";"3.50";"19.03";"1";"1";"0";"2";"N";"0.86";"None";"9.95";"3.21";"0.70";"2";"MOL";"-1";"18";"2";"1";"0";"246.1532";"BASE";"C15H19FN2";"CN(C)[C@@H]1CC[C@@H](c2c[nH]c3ccc(F)cc23)C1"
