"Similarity";"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"64.444446563720703125";"CHEMBL2355928";"";"";"Small molecule";"0";"331.23";"1";"2";"3.50";"20.95";"1";"0";"0";"3";"N";"0.62";"None";"None";"0.27";"0.27";"2";"MOL";"-1";"20";"2";"0";"0";"330.0488";"NEUTRAL";"C17H17BrNO+";"O=C(C[n+]1cccc(Br)c1)c1ccc2c(c1)CCCC2"
"64.2857134342193603515625";"CHEMBL1482315";"";"";"Small molecule";"0";"433.14";"5";"9";"4.29";"20.95";"1";"0";"0";"4";"N";"0.51";"None";"None";"0.46";"0.46";"3";"MOL";"-1";"22";"2";"0";"0";"352.0332";"NEUTRAL";"C19H15Br2NO";"O=C(C[n+]1cccc(Br)c1)c1ccc(-c2ccccc2)cc1.[Br-]"
"100";"CHEMBL1899781";"";"";"Small molecule";"0";"309.14";"1";"1";"2.03";"61.41";"3";"2";"0";"3";"N";"0.52";"7.73";"None";"-1.79";"-1.96";"2";"MOL";"-1";"18";"4";"2";"0";"307.9917";"NEUTRAL";"C13H11BrNO3+";"O=C(C[n+]1cccc(Br)c1)c1ccc(O)c(O)c1"
"55.10203838348388671875";"CHEMBL1186980";"";"";"Small molecule";"0";"386.23";"";"";"3.09";"74.30";"4";"2";"0";"4";"N";"0.41";"7.72";"None";"0.85";"0.68";"3";"MOL";"-1";"24";"5";"2";"0";"385.0182";"NEUTRAL";"C18H14BrN2O3+";"O=C(C[n+]1cccc(-c2ccc(Br)cc2)n1)c1ccc(O)c(O)c1"
"61.363637447357177734375";"CHEMBL1869805";"";"";"Small molecule";"0";"387.07";"4";"5";"2.63";"30.18";"2";"0";"0";"4";"N";"0.64";"None";"None";"-1.34";"-1.34";"2";"MOL";"-1";"18";"3";"0";"0";"306.0124";"NEUTRAL";"C14H13Br2NO2";"COc1ccc(C(=O)C[n+]2cccc(Br)c2)cc1.[Br-]"
"64.2857134342193603515625";"CHEMBL1621961";"";"";"Small molecule";"0";"353.24";"3";"3";"4.29";"20.95";"1";"0";"0";"4";"N";"0.51";"None";"None";"0.46";"0.46";"3";"MOL";"-1";"22";"2";"0";"0";"352.0332";"NEUTRAL";"C19H15BrNO+";"O=C(C[n+]1cccc(Br)c1)c1ccc(-c2ccccc2)cc1"
"66.6666686534881591796875";"CHEMBL1900229";"";"";"Small molecule";"0";"357.05";"3";"4";"2.62";"20.95";"1";"0";"0";"3";"Y";"0.62";"None";"None";"-1.19";"-1.19";"2";"MOL";"-1";"16";"2";"0";"0";"276.0019";"NEUTRAL";"C13H11Br2NO";"O=C(C[n+]1cccc(Br)c1)c1ccccc1.[Br-]"
"66.6666686534881591796875";"CHEMBL1907316";"";"";"Small molecule";"0";"277.14";"";"";"2.62";"20.95";"1";"0";"0";"3";"Y";"0.62";"None";"None";"-1.19";"-1.19";"2";"MOL";"-1";"16";"2";"0";"0";"276.0019";"NEUTRAL";"C13H11BrNO+";"O=C(C[n+]1cccc(Br)c1)c1ccccc1"
"65.8536612987518310546875";"CHEMBL2359701";"";"";"Small molecule";"0";"403.04";"1";"1";"3.22";"20.95";"1";"0";"0";"3";"N";"0.44";"None";"None";"-0.26";"-0.26";"2";"MOL";"-1";"17";"2";"0";"0";"401.8985";"NEUTRAL";"C13H10BrINO+";"O=C(C[n+]1cccc(Br)c1)c1ccc(I)cc1"
"65.9090936183929443359375";"CHEMBL2021399";"";"";"Small molecule";"0";"255.25";"4";"4";"1.14";"85.20";"4";"2";"0";"3";"N";"0.49";"7.73";"None";"-2.71";"-2.87";"2";"MOL";"-1";"19";"5";"2";"0";"255.0764";"NEUTRAL";"C14H11N2O3+";"N#Cc1ccc[n+](CC(=O)c2ccc(O)c(O)c2)c1"
"71.0526287555694580078125";"CHEMBL1898697";"";"";"Small molecule";"0";"356.04";"3";"3";"3.38";"20.95";"1";"0";"0";"3";"N";"0.61";"None";"None";"-0.42";"-0.42";"2";"MOL";"-1";"17";"2";"0";"0";"353.9124";"NEUTRAL";"C13H10Br2NO+";"O=C(C[n+]1cccc(Br)c1)c1ccc(Br)cc1"
"61.363637447357177734375";"CHEMBL2360802";"";"";"Small molecule";"0";"333.25";"1";"2";"3.92";"20.95";"1";"0";"0";"3";"N";"0.62";"None";"None";"0.36";"0.36";"2";"MOL";"-1";"20";"2";"0";"0";"332.0645";"NEUTRAL";"C17H19BrNO+";"CC(C)(C)c1ccc(C(=O)C[n+]2cccc(Br)c2)cc1"
