"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2111781";"";"";"Small molecule";"0";"333.89";"7";"11";"3.59";"11.41";"4";"0";"0";"1";"N";"0.79";"None";"7.43";"3.84";"3.52";"2";"MOL";"-1";"22";"3";"0";"0";"333.1066";"NEUTRAL";"C17H20ClN3S";"CN1CCN([C@H]2Cn3cccc3Sc3ccc(Cl)cc32)CC1"
"CHEMBL120512";"";"";"Small molecule";"0";"333.89";"10";"42";"3.59";"11.41";"4";"0";"0";"1";"N";"0.79";"None";"7.43";"3.84";"3.52";"2";"MOL";"-1";"22";"3";"0";"0";"333.1066";"NEUTRAL";"C17H20ClN3S";"CN1CCN(C2Cn3cccc3Sc3ccc(Cl)cc32)CC1"
"CHEMBL116542";"";"";"Small molecule";"0";"408.37";"7";"11";"3.07";"31.64";"5";"1";"0";"3";"N";"0.85";"None";"7.25";"3.31";"3.08";"2";"MOL";"-1";"24";"4";"1";"0";"407.0667";"NEUTRAL";"C18H22BrN3OS";"OCCN1CCN(C2Cn3cccc3Sc3ccc(Br)cc32)CC1"
"CHEMBL64875";"";"";"Small molecule";"0";"344.91";"36";"74";"4.34";"6.48";"3";"0";"0";"1";"N";"0.76";"None";"7.63";"4.65";"4.23";"2";"MOL";"-1";"23";"2";"0";"0";"344.1114";"NEUTRAL";"C19H21ClN2S";"CN1CCN([C@@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1"
"CHEMBL54";"HALOPERIDOL";"DOLPIN|DOZIC|FORTUNAN|HALDOL SOLUTAB|HALOPERIDOL|HALOPERIDOL DECANOATE IMPURITY, HALOPERIDOL-|Haldol|KENTACE|Keselen|MCN-JR-1625|NSC-170973|NSC-615296|R-1625|SERENACE";"Small molecule";"4";"375.87";"354";"4271";"4.43";"40.54";"3";"1";"0";"6";"N";"0.76";"13.96";"8.05";"3.66";"2.93";"2";"MOL";"0";"26";"3";"1";"0";"375.1401";"NEUTRAL";"C21H23ClFNO2";"O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1"
"CHEMBL179775";"";"";"Small molecule";"0";"279.39";"7";"16";"2.60";"11.41";"3";"0";"0";"1";"Y";"0.79";"None";"7.58";"2.56";"2.16";"2";"MOL";"-1";"21";"3";"0";"0";"279.1735";"NEUTRAL";"C18H21N3";"CN1CCN(C2=Cc3ccccc3Cn3cccc32)CC1"
"CHEMBL2111782";"";"";"Small molecule";"0";"299.44";"12";"29";"2.94";"11.41";"4";"0";"0";"1";"N";"0.80";"None";"7.72";"3.23";"2.74";"2";"MOL";"-1";"21";"3";"0";"0";"299.1456";"NEUTRAL";"C17H21N3S";"CN1CCN([C@@H]2Cn3cccc3Sc3ccccc32)CC1"
"CHEMBL367875";"";"";"Small molecule";"0";"369.53";"7";"9";"4.08";"20.64";"5";"0";"0";"4";"N";"0.81";"None";"7.43";"3.53";"3.22";"2";"MOL";"-1";"26";"4";"0";"0";"369.1875";"NEUTRAL";"C21H27N3OS";"CC(C)OCc1ccc2n1C=C(N1CCN(C)CC1)c1ccccc1S2"
"CHEMBL35085";"";"";"Small molecule";"0";"380.47";"6";"15";"3.51";"65.63";"7";"1";"0";"4";"N";"0.58";"8.23";"7.52";"3.90";"3.79";"4";"MOL";"-1";"27";"6";"1";"0";"380.1307";"NEUTRAL";"C20H20N4O2S";"Oc1nc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc2o1"
"CHEMBL367180";"";"";"Small molecule";"0";"327.45";"7";"9";"2.65";"31.64";"5";"1";"0";"2";"N";"0.92";"None";"7.43";"2.11";"1.80";"2";"MOL";"-1";"23";"4";"1";"0";"327.1405";"NEUTRAL";"C18H21N3OS";"CN1CCN(C2=Cn3c(CO)ccc3Sc3ccccc32)CC1"
"CHEMBL715";"OLANZAPINE";"ARKOLAMYL|LY-170053|LY170053|OLANZAPINE|ZALASTA|ZYPREXA ZYDIS|Zyprexa";"Small molecule";"4";"312.44";"185";"1245";"3.44";"30.87";"5";"1";"0";"0";"N";"0.81";"13.17";"7.24";"3.39";"3.16";"2";"MOL";"0";"22";"4";"1";"0";"312.1409";"NEUTRAL";"C17H20N4S";"Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1"
"CHEMBL426763";"";"";"Small molecule";"0";"331.87";"7";"10";"3.81";"11.41";"4";"0";"0";"1";"N";"0.79";"None";"7.37";"3.57";"3.28";"2";"MOL";"-1";"22";"3";"0";"0";"331.0910";"NEUTRAL";"C17H18ClN3S";"CN1CCN(C2=Cn3cccc3Sc3ccc(Cl)cc32)CC1"
"CHEMBL42";"CLOZAPINE";"CLOZAPINE|CLOZAPINE RESOLUTION MIXTURE|Clozaril|FAZACLO ODT|Fazaclo|HF 1854|HF-1854|VERSACLOZ|ZAPONEX";"Small molecule";"4";"326.83";"284";"2453";"3.72";"30.87";"4";"1";"0";"0";"N";"0.80";"None";"7.35";"3.40";"3.12";"2";"MOL";"0";"23";"4";"1";"0";"326.1298";"NEUTRAL";"C18H19ClN4";"CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1"
